Power, Run #1
Time ( s )	Input Power ( W )
119,400	1,621
119,500	1,619
119,600	1,621
119,700	1,619
119,800	1,619
119,900	1,619
120,000	1,413E-3
120,100	6,898E-4
120,200	6,789E-4
120,300	6,652E-4
120,400	6,570E-4
312,400	0,000
313,000	0,000
313,200	0,000
313,300	0,000
313,400	0,000
313,900	0,000
314,200	0,000
314,500	0,000
314,900	0,000
316,200	0,000
316,300	0,000
316,600	0,000
316,900	0,000
317,100	0,000
317,400	0,000
317,500	0,000
317,800	0,000
317,900	0,000
318,300	0,000
318,700	0,000
318,800	0,000
318,900	0,000
319,000	0,000
319,200	0,000
319,300	0,000
319,400	0,000
319,500	0,000
319,600	0,000
319,700	0,000
319,900	0,000
320,000	0,000
320,100	0,000
320,200	0,000
320,300	0,000
320,400	0,000
320,500	0,000
320,600	0,000
320,700	0,000
320,900	0,000
321,000	0,000
321,100	0,000
321,300	0,000
321,500	0,000
321,600	0,000
321,800	0,000
321,900	0,000
322,100	0,000
322,200	0,000
322,300	0,000
322,400	0,000
322,700	0,000
322,800	0,000
323,000	0,000
323,100	0,000
323,200	0,000
323,500	0,000
323,600	0,000
323,900	0,000
324,000	0,000
324,100	0,000
324,200	0,000
324,300	0,000
324,400	0,000
324,600	0,000
324,700	0,000
324,800	0,000
324,900	0,000
325,000	0,000
325,100	0,000
325,200	0,000
325,300	0,000
325,400	0,000
325,500	0,000
325,600	0,000
326,000	0,000
326,200	0,000
326,300	0,000
326,600	0,000
326,700	0,000
326,800	0,000
326,900	0,000
327,000	0,000
327,300	0,000
327,400	0,000
327,500	0,000
327,600	0,000
327,700	0,000
327,800	0,000
327,900	0,000
328,400	0,000
328,500	0,000
328,600	0,000
328,800	0,000
328,900	0,000
329,000	0,000
329,100	0,000
329,200	0,000
329,300	0,000
329,400	0,000
329,500	0,000
329,600	0,000
329,700	0,000
329,800	0,000
330,000	0,000
330,100	0,000
330,300	0,000
330,500	0,000
330,600	1,642E-5
330,700	0,000
330,800	0,000
330,900	0,000
331,000	0,000
331,100	0,000
331,200	0,000
331,300	0,000
331,400	0,000
331,500	0,000
331,600	0,000
331,700	0,000
331,800	0,000
331,900	0,000
332,100	0,000
332,200	0,000
332,300	0,000
332,400	0,000
332,500	0,000
332,700	0,000
332,800	0,000
332,900	0,000
333,000	0,000
333,100	0,000
333,200	0,000
333,300	0,000
333,400	0,000
333,500	0,000
333,700	0,000
333,800	0,000
333,900	0,000
334,000	0,000
334,100	0,000
334,200	0,000
334,300	0,000
334,400	0,000
334,500	0,000
334,600	0,000
334,700	0,000
334,800	0,000
334,900	0,000
335,000	0,000
335,100	0,000
335,200	0,000
335,300	1,642E-5
335,500	1,642E-5
335,600	0,000
335,700	0,000
335,800	0,000
335,900	0,000
336,000	0,000
336,100	0,000
336,200	0,000
336,300	0,000
336,400	0,000
336,500	0,000
336,600	0,000
336,700	0,000
336,800	0,000
336,900	0,000
337,000	0,000
337,100	0,000
337,200	0,000
337,300	1,642E-5
337,400	0,000
337,500	0,000
337,600	0,000
337,700	0,000
337,800	0,000
337,900	0,000
338,000	0,000
338,100	0,000
338,200	0,000
338,300	0,000
338,400	0,000
338,500	0,000
338,600	0,000
338,700	0,000
338,800	1,642E-5
338,900	0,000
339,000	0,000
339,100	0,000
339,200	0,000
339,300	0,000
339,400	1,642E-5
339,500	0,000
339,600	1,642E-5
339,700	0,000
339,800	0,000
339,900	0,000
340,000	0,000
340,100	0,000
340,200	0,000
340,300	0,000
340,400	0,000
340,500	0,000
340,600	1,642E-5
340,700	0,000
340,800	0,000
340,900	0,000
341,000	0,000
341,100	0,000
341,200	0,000
341,300	0,000
341,400	1,642E-5
341,500	1,642E-5
341,600	0,000
341,700	0,000
341,800	0,000
341,900	0,000
342,000	1,642E-5
342,100	0,000
342,200	0,000
342,300	1,642E-5
342,400	0,000
342,500	0,000
342,600	0,000
342,700	0,000
342,800	0,000
342,900	0,000
343,000	0,000
343,100	0,000
343,200	0,000
343,300	0,000
343,400	0,000
343,500	0,000
343,600	0,000
343,700	0,000
343,800	0,000
343,900	0,000
344,000	0,000
344,100	1,642E-5
344,200	1,642E-5
344,300	0,000
344,400	0,000
344,500	0,000
344,600	0,000
344,700	0,000
344,800	0,000
344,900	0,000
345,000	0,000
345,100	1,642E-5
345,200	0,000
345,300	0,000
345,400	0,000
345,500	0,000
345,600	0,000
345,700	1,642E-5
345,800	0,000
345,900	0,000
346,000	0,000
346,100	0,000
346,200	0,000
346,300	0,000
346,400	0,000
346,500	0,000
346,600	0,000
346,700	0,000
346,800	0,000
346,900	0,000
347,000	0,000
347,100	0,000
347,200	0,000
347,300	0,000
347,400	0,000
347,500	1,642E-5
347,600	0,000
347,700	0,000
347,800	0,000
347,900	0,000
348,000	0,000
348,100	1,642E-5
348,200	0,000
348,300	0,000
348,400	0,000
348,500	0,000
348,600	1,642E-5
348,700	0,000
348,800	0,000
348,900	0,000
349,000	0,000
349,100	1,642E-5
349,200	1,642E-5
349,300	0,000
349,400	0,000
349,500	0,000
349,600	0,000
349,700	1,642E-5
349,800	0,000
349,900	0,000
350,000	0,000
350,100	0,000
350,200	0,000
350,300	0,000
350,400	0,000
350,500	0,000
350,600	0,000
350,700	0,000
350,800	0,000
350,900	0,000
351,000	0,000
351,100	0,000
351,200	0,000
351,400	1,642E-5
351,500	0,000
351,600	0,000
351,700	0,000
351,800	0,000
351,900	0,000
352,000	1,642E-5
352,100	1,642E-5
352,200	1,642E-5
352,300	0,000
352,400	0,000
352,500	0,000
352,600	0,000
352,700	0,000
352,800	1,642E-5
352,900	1,642E-5
353,000	1,642E-5
353,100	0,000
353,200	1,642E-5
353,300	0,000
353,400	0,000
353,500	0,000
353,600	0,000
353,700	0,000
353,800	0,000
353,900	0,000
354,000	1,916E-5
354,100	0,000
354,200	0,000
354,300	0,000
354,400	1,642E-5
354,500	1,642E-5
354,600	0,000
354,700	1,642E-5
354,800	0,000
354,900	0,000
355,000	0,000
355,100	0,000
355,200	0,000
355,300	0,000
355,400	0,000
355,500	1,642E-5
355,600	0,000
355,700	0,000
355,800	0,000
355,900	0,000
356,000	0,000
356,100	0,000
356,200	0,000
356,300	0,000
356,400	0,000
356,500	0,000
356,600	0,000
356,700	0,000
356,800	0,000
356,900	0,000
357,000	0,000
357,100	0,000
357,200	1,642E-5
357,300	0,000
357,400	0,000
357,500	0,000
357,600	0,000
357,700	0,000
357,800	0,000
357,900	1,642E-5
358,000	1,642E-5
358,100	1,642E-5
358,200	0,000
358,300	0,000
358,400	0,000
358,500	0,000
358,600	1,369E-5
358,700	0,000
358,800	1,369E-5
358,900	1,642E-5
359,000	0,000
359,100	0,000
359,200	1,642E-5
359,300	0,000
359,400	0,000
359,500	0,000
359,600	0,000
359,700	0,000
359,800	0,000
359,900	0,000
360,000	0,000
360,100	1,642E-5
360,200	0,000
360,300	1,369E-5
360,400	0,000
360,500	0,000
360,600	0,000
360,700	0,000
360,800	0,000
360,900	0,000
361,000	0,000
361,100	0,000
361,200	0,000
361,300	0,000
361,400	0,000
361,500	0,000
361,600	0,000
361,700	0,000
361,800	0,000
361,900	0,000
362,000	1,642E-5
362,100	0,000
362,200	0,000
362,300	0,000
362,400	0,000
362,500	0,000
362,600	0,000
362,700	0,000
362,800	0,000
362,900	1,642E-5
363,000	0,000
363,100	0,000
363,200	0,000
363,300	0,000
363,400	0,000
