Power, Run #1
Time ( s )	Input Power ( W )
326,900	0,000
327,000	0,000
327,100	0,000
327,200	0,000
327,300	0,000
327,400	0,000
327,500	0,000
327,600	0,000
327,700	0,000
327,800	0,000
327,900	0,000
328,000	0,000
328,100	0,000
328,200	0,000
328,300	0,000
328,500	0,000
328,600	0,000
328,700	0,000
328,800	0,000
328,900	0,000
329,000	0,000
329,100	0,000
329,200	0,000
329,300	0,000
329,400	0,000
329,700	0,000
329,800	0,000
329,900	0,000
330,000	0,000
330,100	0,000
330,200	0,000
330,300	0,000
330,400	0,000
330,600	0,000
330,700	0,000
330,800	0,000
330,900	0,000
331,000	0,000
331,100	0,000
331,200	0,000
331,300	0,000
331,400	0,000
331,600	0,000
331,700	0,000
331,800	0,000
331,900	0,000
332,000	0,000
332,100	0,000
332,200	0,000
332,300	0,000
332,400	0,000
332,500	0,000
332,600	0,000
332,700	0,000
332,800	0,000
332,900	0,000
333,200	0,000
333,300	0,000
333,400	0,000
333,500	0,000
333,700	0,000
333,800	0,000
333,900	0,000
334,000	0,000
334,100	0,000
334,200	0,000
334,300	0,000
334,500	0,000
334,600	0,000
334,700	0,000
334,800	0,000
334,900	0,000
335,000	0,000
335,100	0,000
335,200	0,000
335,300	0,000
335,400	0,000
335,500	0,000
335,600	0,000
335,700	0,000
335,800	0,000
335,900	0,000
336,000	0,000
336,100	0,000
336,200	0,000
336,300	0,000
336,400	0,000
336,500	0,000
336,600	0,000
336,700	0,000
336,800	0,000
336,900	0,000
337,000	0,000
337,100	0,000
337,400	0,000
337,500	0,000
337,600	0,000
337,700	0,000
337,800	0,000
337,900	0,000
338,000	0,000
338,100	0,000
338,200	0,000
338,300	0,000
338,400	0,000
338,500	0,000
338,600	0,000
338,700	0,000
338,800	0,000
338,900	0,000
339,000	0,000
339,100	0,000
339,200	0,000
339,400	0,000
339,600	0,000
339,700	0,000
339,800	0,000
339,900	0,000
340,000	0,000
340,100	0,000
340,200	0,000
340,300	0,000
340,400	0,000
340,500	0,000
340,600	0,000
340,800	0,000
340,900	0,000
341,000	0,000
341,100	0,000
341,200	0,000
341,300	1,916E-5
341,400	0,000
341,500	0,000
341,700	0,000
341,800	0,000
341,900	0,000
342,000	0,000
342,100	0,000
342,200	0,000
342,300	0,000
342,400	0,000
342,500	0,000
342,600	0,000
342,700	0,000
342,800	0,000
342,900	0,000
343,000	0,000
343,100	0,000
343,200	0,000
343,300	0,000
343,400	0,000
343,500	0,000
343,600	0,000
343,700	1,642E-5
343,800	0,000
343,900	0,000
344,000	0,000
344,100	0,000
344,200	0,000
344,300	0,000
344,400	0,000
344,600	0,000
344,700	0,000
344,800	0,000
344,900	0,000
345,000	0,000
345,100	0,000
345,200	0,000
345,300	0,000
345,400	0,000
345,500	0,000
345,600	0,000
345,700	0,000
345,800	0,000
345,900	0,000
346,000	1,642E-5
346,100	0,000
346,200	0,000
346,300	0,000
346,400	0,000
346,500	0,000
346,600	1,642E-5
346,700	0,000
346,800	0,000
346,900	0,000
347,000	0,000
347,100	1,642E-5
347,200	0,000
347,300	0,000
347,400	0,000
347,500	0,000
347,600	1,642E-5
347,700	0,000
347,800	0,000
347,900	0,000
348,000	0,000
348,100	0,000
348,200	0,000
348,300	0,000
348,400	0,000
348,500	0,000
348,600	0,000
348,700	0,000
348,800	0,000
348,900	0,000
349,000	0,000
349,100	0,000
349,200	0,000
349,300	0,000
349,400	1,642E-5
349,500	1,916E-5
349,600	1,642E-5
349,700	0,000
349,800	1,642E-5
349,900	0,000
350,000	0,000
350,100	0,000
350,200	1,642E-5
350,300	0,000
350,400	0,000
350,500	0,000
350,600	0,000
350,700	0,000
350,800	0,000
350,900	0,000
351,000	0,000
351,100	1,642E-5
351,200	0,000
351,300	0,000
351,400	0,000
351,500	0,000
351,600	0,000
351,700	0,000
351,800	0,000
351,900	1,642E-5
352,000	0,000
352,100	0,000
352,200	0,000
352,300	0,000
352,400	0,000
352,500	0,000
352,600	0,000
352,700	0,000
352,800	0,000
352,900	0,000
353,000	1,642E-5
353,100	0,000
353,200	0,000
353,300	0,000
353,400	0,000
353,500	0,000
353,600	0,000
353,700	0,000
353,800	0,000
353,900	1,642E-5
354,000	0,000
354,100	0,000
354,200	0,000
354,300	0,000
354,400	0,000
354,500	1,642E-5
354,600	0,000
354,700	0,000
354,800	0,000
354,900	0,000
355,000	0,000
355,100	1,642E-5
355,200	0,000
355,300	0,000
355,400	0,000
355,500	0,000
355,600	0,000
355,700	1,642E-5
355,800	1,642E-5
355,900	1,642E-5
356,000	1,642E-5
356,100	0,000
356,200	0,000
356,300	0,000
356,400	1,642E-5
356,500	0,000
356,600	0,000
356,700	1,642E-5
356,800	0,000
356,900	0,000
357,000	0,000
357,100	1,642E-5
357,200	0,000
357,300	0,000
357,400	0,000
357,500	0,000
357,600	0,000
357,700	0,000
357,800	0,000
357,900	0,000
358,000	1,642E-5
358,100	0,000
358,200	0,000
358,300	0,000
358,400	0,000
358,500	1,642E-5
358,600	1,642E-5
358,700	0,000
358,800	0,000
358,900	1,642E-5
359,000	0,000
359,100	0,000
359,200	0,000
359,300	1,642E-5
359,400	1,642E-5
359,500	0,000
359,600	1,642E-5
359,700	0,000
359,800	0,000
359,900	1,642E-5
360,000	0,000
360,100	1,642E-5
360,200	1,642E-5
360,300	0,000
360,400	0,000
360,500	0,000
360,600	0,000
360,700	0,000
360,800	0,000
360,900	0,000
361,000	0,000
361,100	1,642E-5
361,200	0,000
361,300	0,000
361,400	0,000
361,500	0,000
361,600	0,000
361,700	1,642E-5
361,800	0,000
361,900	1,642E-5
362,000	0,000
362,100	1,642E-5
362,200	1,642E-5
362,300	1,369E-5
362,400	1,642E-5
362,500	1,642E-5
362,600	0,000
362,700	1,642E-5
362,800	0,000
362,900	1,642E-5
363,000	0,000
363,100	1,642E-5
363,200	0,000
363,300	0,000
363,400	1,642E-5
363,500	0,000
363,600	0,000
363,700	1,642E-5
363,800	1,642E-5
363,900	1,642E-5
364,000	0,000
364,100	1,369E-5
364,200	1,642E-5
364,300	1,642E-5
364,400	0,000
364,500	1,369E-5
364,600	0,000
364,700	0,000
364,800	0,000
364,900	1,642E-5
365,000	0,000
365,100	1,642E-5
365,200	1,369E-5
365,300	0,000
365,400	1,642E-5
365,500	1,369E-5
365,600	1,642E-5
365,700	0,000
365,800	1,642E-5
365,900	1,642E-5
366,000	1,642E-5
366,100	1,642E-5
366,200	1,642E-5
366,300	1,642E-5
366,400	1,642E-5
366,500	1,642E-5
366,600	1,642E-5
366,700	1,642E-5
366,800	1,642E-5
366,900	1,642E-5
367,000	1,642E-5
367,100	1,642E-5
367,200	1,369E-5
367,300	1,642E-5
367,400	0,000
367,500	0,000
367,600	1,642E-5
367,700	1,642E-5
367,800	0,000
367,900	1,642E-5
368,000	1,642E-5
368,100	1,369E-5
368,200	1,642E-5
368,300	1,642E-5
368,400	1,642E-5
368,500	1,642E-5
368,600	1,642E-5
368,700	1,642E-5
368,800	1,642E-5
368,900	0,000
369,000	1,642E-5
369,100	1,642E-5
369,200	1,369E-5
369,300	1,642E-5
369,400	1,369E-5
369,500	1,642E-5
369,600	1,642E-5
369,700	1,642E-5
369,800	1,642E-5
369,900	1,642E-5
370,000	1,642E-5
370,100	1,642E-5
370,200	1,369E-5
370,300	0,000
370,400	1,642E-5
370,500	1,642E-5
370,600	1,369E-5
370,700	1,369E-5
370,800	1,642E-5
370,900	1,642E-5
